Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,1.890732607,-2.090372086,P62249,P62249,RS16_HUMAN,RPS16
+,2.981111735,-2.10495472,P22735,P22735,TGM1_HUMAN,TGM1
+,1.993077859,-2.106671333,Q9NX95;Q9NX95-2;Q9NX95-3;Q9NX95-4;Q9NX95-5,O15079;O15079-2;Q9NX95;Q9NX95-2;Q9NX95-3;Q9NX95-4;Q9NX95-5,SYBU_HUMAN,SYBU
+,1.663906613,-2.109162966,Q96QA5,Q96QA5,GSDMA_HUMAN,GSDMA
+,1.82853283,-2.11286672,Q99549;Q99549-2,Q99549;Q99549-2,MPP8_HUMAN,MPHOSPH8
+,2.806014568,-2.120758692,Q00839;Q00839-2,Q00839;Q00839-2,HNRPU_HUMAN,HNRNPU
+,1.278798537,-2.136048635,P42357;P42357-2,P42357;P42357-2,HUTH_HUMAN,HAL
+,1.486301614,-2.137870153,Q08188,Q08188,TGM3_HUMAN,TGM3
+,1.674829221,-2.138413111,P12273,P12273,PIP_HUMAN,PIP
+,3.728220315,-2.143752416,Q92620,Q92620,PRP16_HUMAN,DHX38
+,1.966619275,-2.155204773,Q9BW19,Q9BW19,KIFC1_HUMAN,KIFC1
+,1.708897229,-2.226554235,Q13835-2,Q13835-2,PKP1_HUMAN,PKP1
+,1.20976177,-2.228500048,Q96DR8,Q96DR8,MUCL1_HUMAN,MUCL1
+,2.737410082,-2.249593735,Q9NRX2,Q9NRX2,RM17_HUMAN,MRPL17
+,2.45893662,-2.277556737,Q13111;Q13111-2;Q13111-3,Q13111;Q13111-2;Q13111-3,CAF1A_HUMAN,CHAF1A
+,3.203376299,-2.289997101,P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2A1_HUMAN;H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN,H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ
+,1.017926973,-2.295792898,O75128;O75128-2;O75128-3;O75128-7,O75128;O75128-2;O75128-3;O75128-4;O75128-5;O75128-7,COBL_HUMAN,COBL
+,1.027603125,-2.328324636,Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3,Q9UIJ7;Q9UIJ7-2;Q9UIJ7-3,KAD3_HUMAN,AK3
+,3.462286062,-2.344179789,P35251;P35251-2,P35251;P35251-2,RFC1_HUMAN,RFC1
+,2.393776197,-2.371723175,Q5T750,Q5T750,XP32_HUMAN,XP32
