#GeneID,Symbol,GeneInfo,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,casTLE p-value,Minimum Effect Estimate,Maximum Effect Estimate
ENSG00000228474,OST4,oligosaccharyltransferase 4 homolog (S. cerevisiae),6,-1.2,15.6,6,-1.8,6.79,-1.6,20.1,0.0214,-2.7,-0.9
ENSG00000126467,TSKS,testis-specific serine kinase substrate,10,1.6,20.8,10,-1.7,3.05,1.5,20.1,0.0214,1,3
ENSG00000129696,TTI2,TELO2 interacting protein 2,10,-1.7,17.9,10,-0.7,7.54,-1.5,20.1,0.0214,-2.5,-0.4
ENSG00000124608,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",10,-1.9,21.3,10,-0.9,0.943,-1.9,20.1,0.0214,-2.9,-1.6
ENSG00000131143,COX4I1,cytochrome c oxidase subunit IV isoform 1,10,0.8,3.61,10,-1.1,12.6,-1.2,15.8,0.0214,-1.9,-0.8
ENSG00000177084,POLE,"polymerase (DNA directed), epsilon, catalytic subunit",10,-0.9,10.3,10,-0.6,6.5,-0.8,15.8,0.0214,-1.3,-0.4
ENSG00000165370,GPR101,G protein-coupled receptor 101,10,0,0,10,1.6,18.9,1.6,15.8,0.0214,0.9,3
ENSG00000198887,SMC5,structural maintenance of chromosomes 5,10,-0.5,6.11,10,-0.6,10.5,-0.6,15.8,0.0214,-1,-0.3
ENSG00000168958,MFF,mitochondrial fission factor,10,-0.2,1.23,10,-2.5,24.5,-2.5,21.1,0.0216,-5,-2
ENSG00000149313,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,10,-0.6,17.3,10,-1.2,5.81,-0.7,21.1,0.0216,-1.4,-0.4
ENSG00000182473,EXOC7,exocyst complex component 7,10,0.3,3.36,10,0.7,20.3,0.6,21.1,0.0216,0.3,1
ENSG00000171453,POLR1C,"polymerase (RNA) I polypeptide C, 30kDa",10,-1.8,14.1,10,1.3,13.7,-1.7,15.7,0.0216,-3,1.3
ENSG00000198156,NPIPB6,"nuclear pore complex interacting protein family, member B6",10,1.5,6.39,10,1.9,10.7,1.8,15.7,0.0216,0.6,3.7
ENSG00000184277,TM2D3,TM2 domain containing 3,10,-0.8,9.62,10,-1.3,7.72,-1,15.6,0.0218,-1.7,-0.6
ENSG00000187772,LIN28B,lin-28 homolog B (C. elegans),10,0.3,5.04,10,0.5,16.6,0.4,21,0.022,0.3,0.7
ENSG00000197958,RPL12,ribosomal protein L12,7,-1.1,12.4,8,-1.2,9.09,-1.2,21,0.022,-1.9,-0.9
ENSG00000205869,KRTAP5-1,keratin associated protein 5-1,10,1.6,20,10,0.6,3.73,1.5,20,0.022,0.5,2.9
ENSG00000186272,ZNF17,zinc finger protein 17,7,-2.8,23,7,-0.3,0.57,-2.8,20,0.022,-5,-2.5
ENSG00000116544,DLGAP3,"discs, large (Drosophila) homolog-associated protein 3",10,-0.2,0.786,10,2.9,23.5,2.9,20,0.022,1.3,5
ENSG00000108666,C17ORF75,chromosome 17 open reading frame 75,10,-0.5,11.2,10,-0.6,9.38,-0.5,20,0.022,-0.8,-0.3
ENSG00000157557,ETS2,v-ets avian erythroblastosis virus E26 oncogene homolog 2,10,0.4,3.68,10,0.8,13.9,0.5,15.5,0.022,0.3,1.1
ENSG00000053900,ANAPC4,anaphase promoting complex subunit 4,9,-1.4,18.6,9,0.7,2.48,-1.4,15.5,0.022,-2.6,-1
