Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ADAM11,19.98741767,2.754999138,2.119749915,3.312947818,3.647232795
ADAM15,NA,57.79890575,42.92115312,60.10579837,5.673412862
ADAM17,6.500569452,0.184949144,0.244626443,4.099001875,10.16666313
ADAM19,17.61090527,0.862346631,0.696972917,5.168532958,32.99191527
ADAM20,NA,NA,NA,NA,3.370054614
ADAM22,48.36029375,0.215029402,1.12785147,2.771354476,5.464440495
ADAM23,3.913462887,1.03432857,0.950773225,2.050427061,7.389220505
ADAM8,NA,16.1467897,8.607013917,NA,0.296015528
ADAM9,4.426207148,NA,NA,2.27594248,11.27386366
ADAMTS10,28.34487199,3.694919962,1.09525786,NA,2.930701791
ADAMTS13,6.406597446,3.219041177,0.588764177,1.221928811,2.98585655
ADAMTS15,NA,0.330366748,0.859730424,NA,NA
ADAMTS17,3.509786184,0.475012256,0.279200074,2.181275665,1.860532187
ADAMTS19,3.693612989,NA,NA,2.200571629,1.918662494
ADAMTS1,1.467875023,NA,NA,0.705630465,1.297783109
ADAMTS20,5.273807766,0.200769241,NA,1.682592363,4.218743595
ADAMTS2,NA,5.331416758,3.12749284,6.813105855,2.268285017
ADAMTS3,4.414587975,NA,NA,2.315683258,1.248110411
ADAMTS4,2.983653151,NA,NA,NA,NA
ADAMTS6,3.665747118,NA,NA,2.810683609,2.671656427
ADAMTS7,8.316659378,1.040280499,0.481808509,1.126944959,18.34595388
ADAMTS9,6.293410062,NA,NA,1.99777836,4.241503388
ADAMTSL3,NA,NA,NA,NA,1.792619907
ADAMTSL4,NA,NA,NA,NA,4.016462414
ADAMTSL5,4.46945347,NA,NA,8.007154362,NA
ADAP1,14.14729407,NA,3.081324178,4.347737675,8.544313396
ADAP2,6.604596786,0.496339384,1.182866645,2.050157652,6.226599813
ADARB1,76.89437675,1.284380535,1.135886107,6.243537553,4.50707683
ADAR,22.28048951,0.868819379,1.14966094,7.4037354,5.602192171
ADAT1,2.448008556,NA,0.187900058,2.442854859,1.202453599
ADAT2,2.822601304,NA,0.344824105,1.169382118,5.292765585
ADAT3,NA,NA,5.4027223,0.582592723,5.193119283
ADA,45.48319384,5.633254252,8.720154884,12.76653185,70.71625089
ADCK1,6.188684758,2.066463027,1.831764806,3.470620298,8.192253334
ADCK2,9.380830608,1.790643043,2.45440991,5.269595514,4.612498119
ADCK5,8.423673491,NA,1.134754309,1.52994532,3.316287198
ADCY10,NA,NA,15.62999163,NA,50.57676935
ADCY1,NA,2.381628826,4.996984578,7.561081891,5.156052327
ADCY3,8.134341695,1.044307492,1.205263078,2.950907609,4.553461015
ADCY5,4.505740429,1.503651734,1.244661356,2.937848315,11.05590402
ADCY6,NA,4.024747359,4.427251722,10.39103589,8.320909266
ADCY7,NA,3.734454508,2.322685534,4.875547103,77.61301311
ADCY9,5.687634387,0.228143522,NA,4.289365865,4.259187386
ADCYAP1R1,4.316943971,0.943102236,0.205580646,2.142574762,16.16929549
ADD1,NA,4.869842173,8.166848899,20.53123259,12.67735816
ADD2,23.09470382,1.400350393,1.808688196,4.651030936,87.5134404
ADD3,12.26950335,0.296604986,0.245375861,9.196366138,5.955690657
ADGRA2,26.12785134,2.203260465,1.265303668,2.8309195,2.892374064
ADGRA3,13.01997934,0.952507106,0.918089544,4.379500289,3.549159903
ADGRB1,10.99107777,2.955732109,2.728697856,3.032692105,29.87556386
ADGRB2,141.9500961,3.772860063,2.871883588,5.615403144,42.9971062
ADGRB3,2.061169815,NA,NA,0.978448089,1.673616806
ADGRE5,149.0553583,2.747487468,2.826354629,5.002951167,4.877891698
ADGRF3,NA,NA,NA,NA,0.531174189
ADGRG1,NA,NA,NA,5.017880003,NA
ADGRG2,NA,NA,NA,NA,7.670352376
ADGRG6,3.284408634,NA,NA,0.820449872,2.924139104
ADGRL1,22.45468392,2.423939822,2.292619589,7.080677019,4.379681638
ADGRL2,6.518111019,NA,NA,6.284301486,2.037197261
ADGRL3,5.938428272,NA,NA,1.824033156,1.295335034
ADGRV1,8.799313862,0.385116625,0.402473284,2.576905682,4.030036222
ADH5,100.1922579,3.713642381,6.538234396,25.96860835,8.247340706
ADHFE1,100.1980055,NA,NA,57.57682723,2.593726426
ADI1,NA,55.06387644,8.401508396,29.35840695,1.669262394
ADIPOR1,67.38670798,3.311486576,4.736431303,NA,9.888490592
ADIPOR2,17.55610061,0.626376995,1.415772576,24.53489551,4.296255755
ADK,16.21202927,3.115301684,4.1090206,8.058710074,5.82900054
ADM5,5.990732548,NA,15.12517147,24.64358364,1.382808661
ADM,0.664444496,NA,NA,0.61130942,6.864051842
ADNP2,4.086366276,NA,NA,2.966730945,7.78345708
ADNP,4.334362,NA,NA,5.774083102,1.453228675
ADORA1,6.46995548,NA,1.294847032,1.591165058,NA
ADORA2A,6.5515947,0.378816484,1.956161462,36.02299537,1.374383204
ADORA2B,5.801205021,0.250223024,0.544234608,2.795217346,3.757363173
ADO,NA,0.688126508,NA,1.555594513,1.829611269
ADPGK,7.661158586,0.841989824,1.374128926,7.495840082,3.500738863
ADPRHL1,69.96656592,11.19175317,16.56787371,265.0425325,2.087048456
ADPRHL2,7.069304223,1.926682032,2.109572447,11.88381094,2.556552227
ADPRM,8.570101949,NA,0.417533848,3.014739355,5.334612858
ADRA1B,3.260997077,NA,NA,NA,NA
ADRA2C,11.6335377,2.205881601,4.409890174,5.693050277,5.055703048
ADRB2,2.298172927,NA,NA,2.030927439,NA
ADRM1,11.95472464,13.09170569,12.31346089,21.00135989,7.698532852
ADSL,13.27581019,2.483356876,2.990630887,5.684348932,4.767456205
ADSSL1,52.12413135,6.479489654,7.021027196,10.58942572,0.954546809
