	HCC38-2	HCC1806-1	MDA-MD-453-2	MDA-MB-231-1	MCF7-2	ZR-75-2	MCF7-1	ZR-75-1	MDA-MB-231-2	MDA-MD-453-1	HCC38-1	HCC1806-2
ST14	0.002725483	0.003058981	0.007023034		0.005411491	0.005069487	0.00594038	0.005172574	1	0.00470031	0.004765507	0.004974708
ZBTB44	0.005420722	0.019775622741966155	0.020758634	0.033744557	0.017304313	0.005590266	0.00749565	0.016741961	0.035908068	0.014855548260013132	0.00221169	0.025180584621616146
SNX19	0.003844768	0.011623080116230802	0.013990330212941056	0.022107428971676224	0.014972483004208482	0.003094463	0.003429997	0.007290346	0.018885540890378985	0.024531752538311156	0.007161964	0.011797939514788967
NCAPD3	0.016066481994459834	0.021905805	0.024204244	0.028490028	0.011418269	0.011989630589760207	0.003076923	0.015528860240257838	0.039473684210526314	0.020466174	0.028887303851640515	0.025979497
VPS26B	0.004922336	0.014872832878641204	0.011334607	0.020570359981299673	0.010090027	0.005144944	0.009370436	0.004695108	0.026126062	0.00988942	0.002623639	0.018780672
THYN1	0.001811296	0.007081133	0.016241629861803674	0.018103886	0.005573248	8.880206020779682e-05	0.00069979	0.003820749	0.009594497	0.009284589	0.000611247	0.003910694
ACAD8	0.006301919	0.012418854078464579	0.018134124	0.015198165738617753	0.007824427	0.007446016	0.011880012	0.003028065	0.025596817	0.017152962	0.001291433	0.013168173
KDM5A	0.016716972370559555	0.020635923	0.040688576	0.043017555	0.012009237875288684	0.017253869	0.025339926	0.025515334	0.051600643	0.042686855670103094	0.015339166003863198	0.032783705140640156
CCDC77	0.007223114	0.013900245298446443	0.002985075	0.045696400625978094	0.003745318	0.005714286	0.006896552	0.004012036	0.039295393	0.001980198	0.019230769230769232	0.019042123485285632
NINJ2	0.000713267			0.008213552					0.009187034		0.000968054	
WNK1	0.007238095	0.021436630312147424	0.032015603444174874	0.030590151	0.015676665092111478	0.013635553	0.01400303	0.012519981939987065	0.029777233292496937	0.017097597197364915	0.008425013	0.023002276266922247
RAD52	0.007481297		0.006024096	0.040160642570281124	0.003311258	0.00297619	0.005405405	0.053016453	0.022082018927444796	0.002114165	0.002793296	
ERC1	0.005651355	0.015300023906287354	0.011523687580025609	0.024854657	0.015063313929064395	0.006454901	0.004673317	0.005909389	0.023975120158326264	0.009866946	0.009250499	0.012290271352620313
ADIPOR2	0.012699629487670883	0.022179233399316177	0.028022947925860547	0.029127544	0.026015004002308308	0.016635618155544336	0.015090673575129533	0.014258160237388724	0.024688142920388553	0.021439142434302626	0.012469642527445996	0.022327597035548298
FKBP4	0.004275879	0.007457859	0.009829183	0.007835811	0.010149597	0.005996182	0.008414044	0.005836107	0.009394641	0.00690243	0.004898227	0.006982858
ITFG2	0.009774436	0.024276377	0.025920166	0.032712133	0.031643715	0.040069686	0.018052516411378557	0.0337126	0.052385406922357346	0.035153019023986765	0.031047077922077924	0.021565495
FOXM1	0.00863878	0.012628157039259815	0.009299143	0.012352555701179555	0.010268650088809946	0.016518965	0.009277882	0.009308362	0.015394991496099936	0.010806317539484621	0.011005886869721013	0.011092344912585018
