	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	1	0	0	0	0	0	0	0	1	1	0	0	0
AC000403.4	7	10	8	5	11	5	2	7	5	3	6	4	3	3
AC001226.7	0	1	1	0	1	1	0	0	0	0	0	1	0	0
AC002044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC002044.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC002056.3	19	10	11	15	6	5	7	9	11	16	16	16	29	9
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0	0	0	5	0	0	0	0	0	0	0	2	2
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AC002066.1	10	46	17	10	44	22	4	58	12	20	4	16	6	18
AC002066.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	2	7	7	1	7	14	0	10	0	4	1	1	1	0
AC002076.10	0	1	0	0	3	0	0	0	0	0	0	1	0	0
AC002115.9	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AC002116.7	18	42	20	13	66	30	17	64	26	33	10	35	12	30
AC002116.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002117.1	1	1	2	2	0	0	0	0	1	2	3	1	3	5
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.10	0	0	1	0	0	1	1	0	0	0	1	1	1	0
AC002310.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.12	9	21	14	4	9	13	4	20	6	14	3	9	1	5
AC002310.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.14	0	2	0	0	3	0	0	1	0	0	0	0	1	1
AC002310.17	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002310.7	3	9	5	5	11	3	0	8	4	5	3	14	4	8
AC002366.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC002386.1	2	20	9	1	10	4	0	5	1	3	2	1	0	2
AC002395.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.11	0	5	0	0	1	0	1	2	0	2	0	1	0	1
AC002398.12	0	1	0	0	0	0	1	0	0	0	0	0	0	0
AC002398.13	1	0	2	0	2	0	0	0	0	0	0	1	0	0
AC002398.9	1	4	6	1	3	0	1	4	2	2	0	3	1	1
AC002400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002401.1	0	0	0	2	0	0	1	1	0	0	1	0	1	2
AC002407.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.3	0	2	1	0	0	0	0	0	0	0	0	0	0	0
AC002454.1	17	39	25	15	44	19	2	51	17	20	4	11	9	6
AC002456.2	4	23	12	5	20	1	2	20	3	10	1	5	0	7
AC002463.3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	38	133	60	37	116	56	21	185	94	82	31	121	25	98
AC002472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AC002472.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002477.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.2	0	2	0	0	1	0	0	0	0	0	0	0	0	0
AC002480.3	178	549	251	118	414	260	55	324	152	205	57	133	73	133
AC002480.4	27	52	34	10	25	20	8	29	8	16	14	19	11	18
AC002480.5	2	14	4	1	15	5	1	7	2	4	7	2	2	3
AC002485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	1	3	0	0	0	0	0	6	2	1	0	0	0	1
AC002511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.6	0	0	2	0	0	0	0	0	1	0	0	0	1	1
AC002519.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002543.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.5	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC002550.6	2	2	4	3	0	6	7	1	4	1	4	0	1	1
AC002551.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002553.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002979.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002985.3	1	2	0	0	0	0	2	1	1	0	0	1	3	1
AC002992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002994.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.6	7	11	1	2	9	5	0	5	6	9	1	3	1	1
AC003005.2	1	2	3	0	4	3	0	2	2	0	0	3	2	1
AC003005.4	0	1	1	0	0	0	0	0	0	0	0	0	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	13	42	24	10	49	28	4	49	10	33	1	18	6	15
AC003079.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003080.4	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AC003084.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC003090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003092.1	11	41	18	5	49	18	8	73	19	37	4	23	5	22
AC003092.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC003104.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC003658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003666.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003682.16	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC003956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003968.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
