db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
FIS1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBP11,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBP1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBP1B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBP7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBP8,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FKBPL,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FLAD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FLII,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FLRT3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FLYWCH1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FNDC4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FOLR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FOSL1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FOXRED1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FRAT2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FTSJ1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FUNDC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
FUNDC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GABARAP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GABPB2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GADD45GIP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GAL,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GALE,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GALNT14,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GALT,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GAMT,NA,eIF4E activated translation,PMID 41102449,homo sapiens
GBA2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
